area_sqft,bedrooms,bathrooms,age_years,location_tier,price
849.46,1,2,6.2,1,68.77
3770.62,4,3,50.9,1,185.84
2170.19,2,3,99.7,1,90.46
3893.3,1,1,81.4,3,161.52
3883.58,3,1,61.5,1,158.6
3529.63,5,2,30.6,2,209.42
1742.24,1,3,62.4,1,81.33
2032.31,3,2,52.7,1,105.16
3523.64,1,3,42.6,3,198.83
1814.15,5,1,13.1,3,193.92
1342.38,5,2,88.7,2,111.1
2581.76,2,2,45.0,2,145.47
3795.7,4,3,19.5,3,264.48
3027.3,1,1,36.8,3,167.6
2624.2,1,2,41.4,1,109.15
1110.96,3,1,82.8,3,97.4
2768.02,5,2,73.4,2,170.03
3968.17,1,1,76.9,1,134.9
1248.27,5,3,1.1,2,162.68
2458.65,1,2,41.6,1,112.75
3607.59,2,2,48.1,3,193.25
3170.46,4,1,1.9,2,218.48
3030.45,1,1,26.0,1,148.1
3047.95,5,2,76.0,1,133.33
1950.37,2,3,13.7,3,176.59
1739.49,1,1,53.5,3,124.72
3389.96,3,1,21.5,3,217.07
3392.36,4,1,1.2,2,220.1
3574.63,1,2,24.1,1,186.81
3722.37,2,2,97.6,3,167.74
2436.3,3,2,80.2,2,118.56
2404.85,2,2,96.0,2,93.93
3354.54,2,3,48.8,2,184.82
2879.88,3,3,11.0,3,222.2
3046.29,2,2,54.8,3,174.29
3346.54,3,3,45.4,1,175.99
3648.02,1,1,84.4,1,128.33
1881.58,3,1,9.8,3,172.0
2001.87,3,1,48.8,2,107.34
1100.74,4,2,15.0,2,145.6
2650.5,3,1,32.5,2,154.95
915.02,3,3,73.7,1,62.94
2289.91,1,2,47.6,2,107.36
2536.46,4,3,37.6,1,157.63
1716.93,5,1,39.4,1,102.42
2690.67,1,1,45.9,2,143.73
897.6,1,1,78.5,2,47.76
919.51,5,2,89.2,3,93.28
3432.32,3,3,95.5,3,171.63
1952.61,2,2,78.7,2,105.25
1206.59,4,2,31.5,1,102.06
2471.18,2,1,68.8,1,99.28
3263.98,5,2,43.8,1,191.0
1490.63,1,2,25.5,1,76.16
2793.25,1,1,84.1,1,100.67
1073.11,4,2,3.8,3,169.53
965.38,1,1,90.2,2,31.66
2500.33,1,1,46.1,3,141.29
2530.03,4,1,63.7,1,113.68
2839.78,4,1,65.9,1,133.86
3123.49,5,2,89.5,1,128.44
3922.73,1,1,63.7,1,155.47
2452.16,1,1,61.4,2,101.2
1833.46,5,2,6.7,1,150.72
3344.6,3,2,51.8,2,164.06
1666.66,3,3,15.0,1,131.96
2204.71,3,2,73.7,2,128.04
1051.06,5,2,51.2,3,133.6
881.12,1,3,68.0,1,16.38
3880.47,5,2,4.2,2,251.47
3475.14,5,2,8.5,3,261.21
3027.12,3,2,71.6,1,128.69
2108.65,2,2,7.2,1,148.39
1354.54,1,3,7.1,1,97.0
1300.6,3,2,1.2,2,152.35
1600.78,2,2,95.7,2,84.43
2557.53,2,3,73.8,3,136.73
3086.71,4,1,35.3,2,185.97
2912.63,1,3,29.7,2,164.18
1695.79,2,1,35.0,1,92.56
3855.57,3,3,77.5,1,158.45
3161.27,4,3,66.1,1,142.86
2573.93,1,2,18.5,1,128.51
2757.51,5,1,17.4,1,168.93
2142.72,3,2,9.8,1,132.25
1592.74,2,1,66.0,1,54.06
1939.11,2,3,76.4,3,137.51
3225.11,3,3,26.5,3,212.19
846.06,2,1,2.1,3,146.6
1171.43,4,2,8.2,3,173.05
947.21,1,2,96.8,1,-1.53
930.33,4,2,29.5,3,136.15
3537.47,2,2,76.9,1,142.21
3051.71,5,3,62.5,3,195.02
2317.36,1,3,38.2,2,136.91
1113.07,1,3,20.6,3,143.12
2373.17,3,3,12.1,3,213.18
2315.11,3,3,61.5,1,111.31
1354.25,5,2,77.5,3,121.45
2188.33,1,2,64.4,2,124.3
2075.22,5,2,53.0,1,139.6
2770.72,3,2,4.2,1,179.41
2832.3,3,3,96.8,3,154.5
944.97,1,3,79.9,1,27.09
1998.76,4,3,29.3,1,128.23
2802.75,2,1,98.0,1,86.92
2410.04,3,2,60.2,1,116.38
3540.77,3,2,58.2,1,167.35
2907.82,4,3,74.8,1,138.43
1321.39,4,2,81.2,2,75.28
1025.82,5,2,65.6,3,135.9
2855.74,5,3,12.8,2,202.72
884.84,2,1,33.8,1,62.07
2674.48,2,1,92.8,1,83.86
3808.74,1,1,22.5,3,239.29
2641.52,5,3,37.2,2,216.78
2042.14,3,2,43.2,3,168.98
2858.52,5,3,43.9,2,186.06
2266.41,3,3,61.3,1,117.63
2545.97,4,2,94.3,3,156.54
3812.69,5,1,24.1,3,246.98
2035.53,4,1,12.2,1,157.48
3875.81,2,3,19.7,3,246.16
3697.12,2,1,88.7,2,150.42
1426.53,1,3,64.6,2,95.92
1021.96,5,3,28.6,2,140.11
1122.49,4,2,81.6,2,91.4
858.31,3,2,86.1,1,30.96
1102.22,2,2,84.7,3,83.27
2985.62,2,3,91.9,2,118.98
1027.8,3,2,25.2,1,96.19
1820.72,4,1,75.5,3,139.11
3503.6,4,1,46.1,3,218.36
874.47,5,3,84.2,1,77.99
3406.3,5,3,72.8,1,158.89
1701.94,1,2,77.6,2,89.14
1178.13,2,3,65.6,3,101.82
3029.56,5,3,17.7,3,235.97
2812.62,4,1,54.5,1,139.79
3607.91,3,1,98.5,3,175.99
3152.23,4,2,93.7,2,141.4
3371.14,2,3,4.3,3,237.82
1702.51,4,3,16.5,1,121.22
1367.81,1,1,13.2,1,87.76
3201.97,2,3,72.6,2,161.89
3381.87,3,1,81.8,2,153.69
3969.62,1,2,21.4,3,236.86
2120.38,2,1,50.6,3,146.24
1990.46,3,3,84.1,1,84.48
3284.52,1,2,73.3,2,134.73
1890.57,1,1,54.2,2,108.78
3778.42,2,1,59.0,2,176.23
3546.92,5,2,50.8,3,230.39
2172.78,1,2,29.8,2,131.98
3202.79,1,1,56.5,1,99.36
3214.54,3,3,68.9,1,150.37
1130.0,4,1,87.3,3,92.9
3688.17,2,2,63.6,3,187.55
2416.81,2,1,76.1,2,117.63
3444.66,5,2,16.0,3,245.84
1824.16,5,2,46.2,1,129.52
3665.67,2,3,0.9,2,232.72
2045.45,5,2,24.7,1,150.69
834.68,3,2,72.6,2,58.44
3697.22,2,3,99.2,3,186.18
1092.12,5,2,9.9,2,149.9
1821.8,2,3,40.1,2,126.95
3840.2,4,3,80.0,1,161.84
3841.94,1,2,20.4,1,160.38
2635.0,2,2,55.5,2,144.9
2821.88,1,1,73.3,3,133.83
2235.03,5,3,61.6,3,163.42
1738.27,1,1,18.8,1,84.57
1851.73,2,2,35.5,3,165.51
2952.06,4,1,78.4,1,112.33
3207.6,5,3,55.4,3,231.27
3333.05,2,1,0.5,2,197.88
3326.78,5,3,76.1,1,136.48
1091.86,3,2,3.5,1,100.22
2382.14,1,2,74.6,2,121.07
984.19,3,3,20.2,1,98.69
2558.49,2,2,95.8,3,125.42
2212.9,4,2,36.8,3,183.62
3640.65,5,2,32.7,1,198.29
1922.93,1,2,14.9,3,176.57
1174.61,5,3,30.6,1,129.15
1257.57,2,1,87.7,2,57.29
3236.83,5,1,99.6,1,106.32
2778.3,1,2,36.8,2,148.64
1123.59,2,1,44.9,3,118.04
1069.14,5,1,72.2,2,81.02
3043.1,4,2,88.6,3,160.04
1032.84,2,2,59.3,1,60.14
3429.95,2,1,39.2,3,200.24
3059.98,4,3,41.3,1,164.42
1060.32,3,2,69.6,1,49.88
1071.48,1,3,0.3,2,125.94
3957.25,3,1,62.0,2,174.69
1997.67,5,2,35.5,2,167.38
1986.05,4,3,79.4,2,131.33
3400.96,3,2,9.3,3,219.13
3831.2,2,1,58.8,3,189.74
3955.2,5,3,48.1,3,232.99
3210.81,5,1,64.2,1,140.49
2004.03,3,1,6.5,3,184.12
1067.2,3,2,58.0,3,102.46
3286.87,4,3,56.1,3,200.9
2586.89,1,1,56.1,2,114.65
2157.51,3,1,60.3,3,149.31
3700.33,3,3,67.6,1,158.09
1155.83,2,1,80.5,2,55.84
2376.4,5,1,27.0,1,149.36
836.33,1,3,82.5,3,73.8
2299.71,2,3,49.8,2,136.91
980.17,4,3,7.7,1,134.88
1180.22,4,3,5.9,3,190.03
1176.08,3,2,33.4,1,77.43
2877.47,3,3,78.5,1,128.22
3187.34,4,2,70.8,1,147.06
2666.78,3,2,78.9,3,144.77
3878.95,1,2,51.7,3,212.57
1999.59,3,1,44.0,1,120.15
1714.28,5,2,14.7,2,153.98
3579.52,3,2,32.8,2,190.85
1515.51,2,1,43.4,3,140.5
3882.31,1,1,8.9,3,235.51
838.89,2,1,22.1,3,129.23
3903.61,2,3,59.8,3,216.17
938.11,5,1,73.6,3,113.89
3651.66,1,1,99.8,2,113.68
2488.64,1,2,93.3,3,132.93
3977.49,1,1,64.3,1,153.5
1036.15,1,3,42.1,1,66.27
2572.33,1,1,63.6,2,117.7
3901.77,5,3,78.6,1,156.4
2473.91,3,1,11.8,2,177.26
2814.08,2,1,41.0,2,158.42
3026.4,1,1,84.0,1,92.12
2254.53,3,1,38.4,3,179.45
2808.19,3,3,57.2,1,131.2
2669.81,2,3,58.8,1,126.07
3683.71,5,2,18.4,2,220.97
945.43,4,3,36.2,1,93.88
1699.08,4,1,33.5,2,133.96
3841.32,3,2,2.6,3,260.6
3648.84,2,2,2.4,3,240.08
2258.1,4,2,83.2,3,145.18
2784.42,3,1,27.3,1,153.87
1687.62,5,3,51.8,2,136.25
1401.99,4,1,29.9,3,137.11
2283.83,3,2,94.1,2,123.18
1930.73,3,1,25.9,2,155.65
2667.7,1,1,43.0,3,150.07
1048.75,5,3,87.3,3,121.78
3918.06,1,3,84.2,2,155.75
3955.87,2,2,18.6,3,244.2
3034.12,1,1,80.3,2,123.92
2515.51,1,1,45.8,2,128.04
1790.49,4,3,48.3,3,156.19
3404.14,3,1,13.3,1,171.56
2991.14,5,1,8.1,3,225.08
1320.37,1,1,72.8,1,33.66
3714.97,5,3,49.6,2,212.64
3432.12,1,2,43.7,2,163.02
3839.36,2,2,73.0,1,150.84
3122.3,1,1,76.6,2,141.91
2762.93,4,2,15.9,1,162.19
2138.38,3,3,61.0,1,110.42
3784.73,2,3,13.5,2,225.63
3571.4,1,2,75.1,1,129.61
944.7,5,2,65.7,3,123.27
884.37,2,1,95.7,3,73.85
2004.68,2,2,6.9,2,162.47
3393.77,1,1,5.7,2,180.84
3959.28,2,1,28.2,1,186.69
1281.33,5,3,26.2,1,130.78
2701.22,2,3,24.7,1,141.15
2018.85,5,3,90.6,1,96.54
3903.73,1,3,25.0,3,239.5
3494.78,3,2,27.2,3,224.47
3482.65,2,3,75.9,2,170.87
2299.82,3,2,45.0,1,144.15
2127.42,5,3,77.7,1,102.46
1674.9,2,2,6.5,2,132.58
980.4,4,1,48.8,1,76.35
3567.11,3,2,3.4,1,205.38
3401.28,2,2,6.3,1,179.72
3999.1,3,3,90.6,1,163.99
3989.24,2,2,13.9,1,183.1
2577.38,1,1,53.2,2,133.54
3260.76,3,1,41.1,1,145.18
3823.25,4,3,34.7,2,238.22
3518.87,4,1,90.0,1,149.1
1591.51,5,2,2.2,3,188.29
2241.74,2,1,66.4,3,131.86
1213.31,3,3,96.3,3,105.99
3852.96,5,2,56.0,3,228.17
2739.76,3,3,93.7,2,127.49
1531.66,2,2,5.2,2,142.68
2949.44,4,1,41.9,1,128.53
2778.01,1,3,26.0,3,192.28
1946.12,4,3,73.1,2,117.75
1163.38,5,2,98.1,1,49.28
2949.03,1,3,25.7,1,163.13
2464.98,5,2,65.4,2,138.38
3271.42,2,2,19.8,3,224.78
2464.52,1,2,56.5,1,98.24
3526.98,5,2,46.4,3,225.53
2566.1,2,1,97.2,3,131.96
2595.0,4,2,60.9,3,179.54
3605.29,2,3,35.0,1,177.93
2091.15,3,1,11.4,3,193.74
1228.85,2,3,15.1,1,101.6
892.1,2,1,22.5,3,119.08
3216.44,3,2,25.1,1,157.65
2784.99,5,1,85.1,3,157.17
3053.06,5,1,56.1,2,202.45
1481.49,2,3,52.3,3,146.43
1236.39,3,3,11.5,3,152.58
846.54,3,2,86.0,1,23.59
1921.88,4,1,72.3,1,92.26
2687.74,5,1,6.8,3,230.13
2055.18,1,1,70.8,2,99.79
2199.92,5,2,54.4,2,147.96
3693.31,5,2,8.2,1,213.47
1914.42,4,2,45.8,2,142.62
2444.77,1,2,48.5,3,157.65
3307.69,4,2,16.6,1,164.31
2068.94,1,3,94.6,3,110.46
2790.68,2,1,85.0,1,83.16
3559.56,1,1,66.9,1,126.82
3838.47,4,1,46.2,1,205.22
1270.64,5,1,41.2,1,101.21
3765.08,1,1,65.1,2,155.56
2374.77,1,1,54.5,3,152.7
1626.38,3,1,6.2,3,176.77
2269.23,5,1,51.3,3,178.62
3936.1,2,3,80.6,1,153.32
2376.38,4,1,45.9,2,170.0
1852.01,2,3,5.2,3,173.35
2826.88,5,2,78.6,2,157.77
1568.47,1,1,20.1,1,83.52
1042.76,1,2,25.9,3,131.36
1212.42,5,2,16.5,2,137.07
1209.75,1,2,33.0,1,71.75
1286.09,1,3,75.7,2,72.52
1244.25,1,2,51.9,3,121.76
2850.8,4,2,20.5,3,226.57
1382.02,4,2,87.8,1,49.69
1906.14,3,1,88.0,1,66.9
3669.72,2,1,87.1,1,113.7
2316.68,5,3,23.9,2,172.39
2936.18,5,3,45.1,2,187.5
1351.42,5,1,98.5,2,76.42
1415.32,3,3,77.2,1,94.04
930.78,4,1,2.7,3,162.73
